id,gx,gy,gz,ax,ay,az,deg
258952,14.21,13.64,2.18,144,17,602,192.19
258962,14.21,13.64,2.18,144,17,596,192.17
258972,14.21,13.64,2.19,146,21,594,192.17
258982,14.21,13.64,2.19,143,19,597,192.17
259044,14.21,13.64,2.18,145,21,585,192.17
259054,14.21,13.64,2.18,147,19,590,192.19
259064,14.21,13.64,2.18,151,17,588,192.19
259387,14.21,13.64,2.18,149,25,593,192.19
259397,14.21,13.64,2.18,147,22,593,192.17
259407,14.21,13.64,2.19,147,18,586,192.19
259417,14.21,13.64,2.18,144,14,579,192.19
259426,14.21,13.63,2.18,142,12,583,192.19
259436,14.2,13.64,2.18,143,12,582,192.19
259445,14.2,13.64,2.18,140,14,583,192.19
259454,14.2,13.64,2.18,140,15,585,192.19
259514,14.2,13.64,2.18,153,19,580,192.17
259524,14.2,13.64,2.18,151,21,582,192.19
259535,14.2,13.64,2.18,145,19,583,192.19
259545,14.21,13.64,2.18,144,22,584,192.19
259554,14.21,13.64,2.18,141,20,585,192.17
259563,14.21,13.64,2.18,140,22,577,192.19
259572,14.21,13.65,2.19,139,26,575,192.17
259582,14.21,13.64,2.18,137,23,578,192.17
259592,14.2,13.64,2.18,138,20,585,192.17
259663,14.21,13.64,2.18,139,18,583,192.19
259673,14.21,13.64,2.18,140,18,583,192.19
259682,14.21,13.64,2.18,138,20,584,192.17
259994,14.2,13.65,2.19,138,23,585,192.17
260006,14.2,13.65,2.19,140,23,579,192.19
260016,14.2,13.65,2.19,141,25,576,192.17
260026,14.2,13.65,2.19,143,23,576,192.17
260036,14.2,13.64,2.2,143,20,571,192.19
260045,14.2,13.65,2.2,142,18,571,192.17
260054,14.2,13.65,2.19,142,22,574,192.19
260063,14.2,13.65,2.19,143,22,580,192.19
260123,14.2,13.65,2.19,142,17,573,192.19
260135,14.2,13.65,2.19,141,16,581,192.19
260144,14.2,13.65,2.19,141,16,583,192.19
260155,14.2,13.65,2.19,137,18,582,192.19
260165,14.2,13.65,2.19,138,17,584,192.19
260175,14.2,13.65,2.19,141,18,586,192.19
260184,14.2,13.65,2.19,141,19,585,192.19
260193,14.2,13.65,2.19,137,23,588,192.17
260202,14.2,13.65,2.19,138,26,589,192.19
260283,14.2,13.65,2.19,135,20,602,192.19
260293,14.2,13.65,2.19,137,21,593,192.19
260302,14.2,13.65,2.19,140,23,588,192.19
260625,14.2,13.65,2.19,144,22,589,192.19
260635,14.2,13.65,2.19,137,22,592,192.17
260645,14.2,13.65,2.19,137,17,586,192.19
260655,14.2,13.65,2.19,137,17,588,192.19
260665,14.2,13.65,2.19,139,15,591,192.19
260675,14.2,13.65,2.19,140,15,592,192.19
260685,14.2,13.65,2.19,139,14,585,192.17
260694,14.2,13.65,2.19,142,21,586,192.19
260743,14.2,13.65,2.19,139,22,586,192.19
260753,14.2,13.65,2.19,143,22,587,192.19
260762,14.2,13.65,2.19,141,20,594,192.19
260774,14.2,13.65,2.19,139,16,598,192.19
260784,14.2,13.65,2.19,137,19,598,192.19
260793,14.2,13.65,2.19,144,19,599,192.19
