tick,q1,q2,q3,q4,yaw,pitch,roll,axR,ayR,azR,axW,ayW,azW,temp,Head1,Head2
9871381,0.98,0.01,0.03,0.21,-24.43,-3.73,1.49,5,-15,-67,6,-11,-67,35,4,244
9871408,0.98,0.01,0.03,0.21,-24.43,-3.73,1.49,9,-19,-73,10,-13,-73,35,4,244
9871436,0.98,0.01,0.03,0.21,-24.43,-3.72,1.49,12,-14,-73,11,-8,-73,35,4,244
9871463,0.98,0.01,0.03,0.21,-24.43,-3.72,1.49,14,-10,-65,12,-3,-66,36,4,244
9871491,0.98,0.01,0.03,0.21,-24.43,-3.71,1.49,19,-12,-69,17,-3,-70,35,4,244
9871519,0.98,0.01,0.03,0.21,-24.43,-3.71,1.49,21,-12,-80,18,-2,-81,35,4,244
9871546,0.98,0.01,0.03,0.21,-24.43,-3.71,1.49,22,-14,-83,19,-3,-84,35,4,244
9871574,0.24,0.20,-0.96,-0.93,175.39,2.77,87.01,2721,-15392,305,-5823,-2912,-28682,35,4,245
9871615,0.98,0.01,0.03,0.21,-24.44,-3.64,1.47,19,-5,-66,14,3,-67,35,4,244
9871638,0.98,0.01,0.03,0.21,-24.44,-3.64,1.47,24,-7,-70,19,3,-71,36,4,244
9871664,0.98,0.01,0.03,0.21,-24.44,-3.64,1.47,19,-7,-73,15,1,-74,35,4,244
9871692,0.98,0.01,0.03,0.21,-24.44,-3.64,1.47,15,-12,-75,13,-4,-76,35,4,244
9871719,0.98,0.01,0.03,0.21,-24.44,-3.63,1.47,14,-15,-72,13,-8,-73,35,4,244
9871747,0.98,0.01,0.03,0.21,-24.44,-3.63,1.46,16,-16,-71,16,-8,-72,35,4,244
9871774,0.98,0.01,0.03,0.21,-24.44,-3.63,1.46,21,-16,-61,21,-6,-62,35,4,244
9871802,0.98,0.01,0.03,0.21,-24.44,-3.63,1.46,22,-10,-61,19,0,-62,35,4,245
9871829,0.98,0.01,0.03,0.21,-24.44,-3.63,1.46,18,-8,-60,15,0,-61,36,4,245
