tick,q1,q2,q3,q4,yaw,pitch,roll,axR,ayR,azR,axW,ayW,azW,temp,Head1,Head2
59141,0.99,0.00,-0.10,0.03,-3.97,11.29,-0.31,-18,66,14,-24,64,9,35,2,128
59151,0.99,0.00,-0.10,0.03,-3.97,11.29,-0.29,-13,69,-6,-16,68,-8,35,2,128
59161,0.99,0.00,-0.10,0.03,-3.98,11.29,-0.27,-11,54,-15,-11,53,-17,35,2,128
59171,0.99,0.00,-0.10,0.03,-3.98,11.28,-0.26,-9,25,-34,-3,24,-35,35,2,128
59181,0.99,0.00,-0.10,0.03,-3.99,11.28,-0.26,1,10,-48,9,10,-46,35,2,128
59192,0.99,0.00,-0.10,0.03,-3.99,11.28,-0.27,4,13,-65,15,13,-63,35,2,128
59202,0.99,0.00,-0.10,0.03,-3.99,11.27,-0.27,7,16,-76,20,17,-73,35,2,128
59212,0.99,0.00,-0.10,0.03,-4.00,11.26,-0.26,9,27,-73,21,28,-69,35,2,128
59222,0.99,0.00,-0.10,0.03,-4.01,11.24,-0.25,17,31,-79,29,32,-74,35,2,128
59232,0.99,0.00,-0.10,0.03,-4.02,11.22,-0.25,25,42,-86,38,44,-79,35,2,128
59242,0.99,0.00,-0.10,0.03,-4.02,11.20,-0.25,28,63,-85,39,65,-78,35,2,128
59252,0.99,0.00,-0.10,0.03,-4.03,11.17,-0.26,20,67,-73,29,68,-68,35,2,128
59262,0.99,0.00,-0.10,0.03,-4.04,11.14,-0.27,19,54,-46,23,55,-41,35,2,128
59272,0.99,0.00,-0.10,0.03,-4.03,11.10,-0.28,20,38,-7,18,39,-3,35,2,128
59282,0.99,0.00,-0.10,0.03,-4.05,11.07,-0.29,20,27,34,11,28,37,35,2,128
59292,0.99,0.00,-0.10,0.03,-4.06,11.04,-0.29,20,27,51,7,27,53,35,2,128
59302,0.99,0.00,-0.10,0.03,-4.07,11.02,-0.29,28,28,50,15,29,54,35,2,128
59312,0.99,0.00,-0.10,0.03,-4.07,10.98,-0.29,31,27,55,18,28,59,35,2,128
59322,0.99,0.00,-0.10,0.04,-4.09,10.95,-0.30,30,4,71,15,5,75,35,2,128
59332,0.99,0.00,-0.10,0.04,-4.11,10.93,-0.32,34,-10,93,16,-8,97,35,2,128
